one_way_cost_bps,cumulative_return,annualized_volatility,sharpe,sortino,maximum_drawdown,weekly_hit_rate,average_exposure,gross_cumulative_return,gross_annualized_volatility,gross_sharpe,gross_sortino,gross_maximum_drawdown,gross_weekly_hit_rate,initial_nav,final_nav,final_gross_nav,cost_drag,fee_total,slippage_total,turnover,number_of_rebalances,weekly_observations,sample_start,sample_end,top_tercile_excess_return_mean,top_tercile_excess_return_median
0,0.13151170800013867,0.05823868037130384,2.1124292196406342,3.83581440578337,-0.032140151014845575,0.6415094339622641,0.6801619385484806,0.13151170800013867,0.05823868037130384,2.1124292196406342,3.83581440578337,-0.032140151014845575,0.6415094339622641,100000.0,113151.17080001388,113151.17080001388,0.0,0.0,0.0,83.99999941110588,42,53,2025-01-03T21:00:00+00:00,2025-12-29T21:00:00+00:00,,
3,0.10335389103701287,0.05801918660167466,1.6931863471910797,2.911741165592833,-0.03503937952351388,0.6037735849056604,0.6801619386131577,0.129453267975012,0.057570079578566344,2.1052026896790035,3.8120391546655523,-0.032099687988459635,0.6415094339622641,100000.0,110335.3891037013,112945.3267975012,0.02609937693799904,434.98961563326947,2174.9480781663483,83.98740319814652,42,53,2025-01-03T21:00:00+00:00,2025-12-29T21:00:00+00:00,,
6,0.0758967800639585,0.05782243256693467,1.2704861063870034,2.0720180581777172,-0.03792992414332996,0.5849056603773585,0.6801619385728821,0.12742912758612346,0.05691425475023325,2.0978248338934384,3.7879851059725933,-0.03205929377201977,0.6415094339622641,100000.0,107589.67800639586,112742.91275861234,0.05153234752216478,858.8724587027602,4294.362293513795,83.97481452534831,42,53,2025-01-03T21:00:00+00:00,2025-12-29T21:00:00+00:00,0.0003660849496760257,-7.328935123962488e-05
12,0.023015343836336744,0.057497814449354034,0.41658017455366425,0.6136783098969762,-0.04368506658912363,0.5094339622641509,0.6801619386432987,0.12348116999870262,0.055639956974744255,2.0826181289287096,3.7390707767142954,-0.031978710064061056,0.6415094339622641,100000.0,102301.53438363368,112348.11699987025,0.1004658261623657,1674.430436039392,8372.15218019697,83.94965983097244,42,53,2025-01-03T21:00:00+00:00,2025-12-29T21:00:00+00:00,,
