week,event_at,net_nav,net_weekly_return,gross_nav,gross_weekly_return,weekly_cost_drag
2025-W01,2025-01-03 21:00:00+00:00,100000.0,0.0,100000.0,0.0,0.0
2025-W02,2025-01-10 21:00:00+00:00,98959.20835764514,-0.010407916423548547,99019.17237884644,-0.009808276211535571,0.0005996402120129751
2025-W03,2025-01-17 21:00:00+00:00,99032.68144472729,0.0007424583149111541,99152.10074757847,0.0013424508157213744,0.0005999925008102203
2025-W04,2025-01-24 21:00:00+00:00,98687.9855419827,-0.003480627785858448,98866.78882299965,-0.0028775176968279803,0.0006031100890304675
2025-W05,2025-01-31 21:00:00+00:00,98783.88232459246,0.0009717168922143138,99021.99151823756,0.0015698162859902887,0.0005980993937759749
2025-W06,2025-02-07 21:00:00+00:00,96700.885525564,-0.02108640346999091,97056.28487150853,-0.019851213014302926,0.0012351904556879845
2025-W07,2025-02-14 21:00:00+00:00,96599.20939752145,-0.0010514498134110983,97070.58880492381,0.00014737771422246304,0.0011988275276335614
2025-W08,2025-02-21 21:00:00+00:00,96567.09431421314,-0.000332456999478592,97096.39849193447,0.00026588575724528773,0.0005983427567238797
2025-W09,2025-02-28 21:00:00+00:00,96207.007585667,-0.0037288760845850533,96794.07062279803,-0.0031136877766022586,0.0006151883079827947
2025-W10,2025-03-07 21:00:00+00:00,96658.7286583045,0.004695303221392333,97361.51134057167,0.005862349977871384,0.001167046756479051
2025-W11,2025-03-14 20:00:00+00:00,96494.85592033404,-0.0016953744400028947,97313.5307354808,-0.0004928087539954884,0.0012025656860074063
2025-W12,2025-03-21 20:00:00+00:00,97467.1126769678,0.010075736653117007,98402.16506409903,0.011186875251473216,0.0011111385983562094
2025-W13,2025-03-28 20:00:00+00:00,98275.4251321477,0.008293181494550605,99327.92337428108,0.009407905909174064,0.001114724414623458
2025-W14,2025-04-04 20:00:00+00:00,98775.47194408716,0.005088218252600418,99946.20094615764,0.0062246098667220195,0.0011363916141216013
2025-W15,2025-04-11 20:00:00+00:00,99389.43780458005,0.006215772482873527,100679.06601566309,0.007332595562089095,0.0011168230792155676
2025-W16,2025-04-17 20:00:00+00:00,99364.33663921159,-0.0002525536507996806,100713.56275380612,0.0003426406253874692,0.0005951942761871498
2025-W17,2025-04-25 20:00:00+00:00,99184.05368478734,-0.001814362783690071,100592.8259588593,-0.001198813661690834,0.0006155491219992371
2025-W18,2025-05-02 20:00:00+00:00,101184.23808197102,0.02016639089525807,102713.23209354421,0.021079098976224397,0.000912708080966329
2025-W19,2025-05-09 20:00:00+00:00,101334.17137430872,0.0014817850603987548,102984.67652871195,0.002642740663836962,0.0011609556034382074
2025-W20,2025-05-16 20:00:00+00:00,102461.89626889747,0.011128772054820102,104234.67951312898,0.012137757058143794,0.0010089850033236925
2025-W21,2025-05-23 20:00:00+00:00,102624.08982116633,0.00158296457683349,104519.92475896637,0.002736567591225425,0.0011536030143919351
2025-W22,2025-05-30 20:00:00+00:00,102229.14355601792,-0.0038484752053503657,104186.5160247845,-0.0031899059911374428,0.0006585692142129229
2025-W23,2025-06-06 20:00:00+00:00,101909.66882419813,-0.0031250846941188737,103928.22380335783,-0.00247913291740387,0.0006459517767150036
2025-W24,2025-06-13 20:00:00+00:00,100889.98708354938,-0.010005740892042203,103030.22153255893,-0.008640600579280622,0.0013651403127615813
2025-W25,2025-06-20 20:00:00+00:00,102052.38804218566,0.011521469991602418,104253.1201845278,0.011869319834301395,0.00034784984269897734
2025-W26,2025-06-27 20:00:00+00:00,102057.63625663143,5.14266696396426e-05,104319.63974323253,0.0006380582047520456,0.000586631535112403
2025-W27,2025-07-03 17:00:00+00:00,102666.76528574133,0.005968480668886,104989.96663511629,0.006425701752169166,0.0004572210832831658
2025-W28,2025-07-11 20:00:00+00:00,102727.89578856924,0.0005954264036445167,105112.77087939972,0.001169676000662312,0.0005742495970177952
2025-W29,2025-07-18 20:00:00+00:00,102937.80205597094,0.0020433229532290653,105446.07668471274,0.0031709353918130123,0.001127612438583947
2025-W30,2025-07-25 20:00:00+00:00,103002.50074381856,0.000628522142064325,105634.33962120824,0.0017853953642905651,0.0011568732222262401
2025-W31,2025-08-01 20:00:00+00:00,101787.4624354409,-0.011796202030081027,104542.17489673599,-0.010339106850940971,0.0014570951791400555
