slice,rows,decision_dates,start,end,rank_ic,mae,rmse,top_tercile_excess,rank_ic_median,rank_ic_std,rank_ic_positive_fraction
development_2021_2022_oof,1530,51,2022-01-14 21:00:00+00:00,2022-12-30 21:00:00+00:00,0.01822940522148793,0.04830578809758143,0.06155805919657223,0.0012761950286723262,0.0424916573971079,0.16872041022894413,0.5686274509803921
development_2023_2024_oof,2760,92,2023-01-06 21:00:00+00:00,2024-10-04 20:00:00+00:00,0.01654978962131837,0.04920555206979363,0.061148405496270083,0.0014464687388561976,0.03337041156840934,0.19251075608971666,0.5434782608695652
holdout_2025_full_basket,1530,51,2025-01-03 21:00:00+00:00,2025-12-19 21:00:00+00:00,0.006390542868982963,0.04863785097319694,0.061024341168703214,0.00088747062803109,-0.0046718576195773085,0.17983220679477174,0.49019607843137253
development_low_volatility_oof,2190,73,2022-01-14 21:00:00+00:00,2024-10-04 20:00:00+00:00,-0.019891203315708473,0.048620944181198125,0.061015843809868665,0.0003637425107561246,-0.010456062291434927,0.1810078314964712,0.4657534246575342
development_high_volatility_oof,2100,70,2022-03-25 20:00:00+00:00,2024-09-20 20:00:00+00:00,0.05577625933576989,0.04915967225957433,0.06158440589660078,0.00245154095931231,0.06763070077864293,0.17986798794969489,0.6428571428571429
holdout_low_volatility,720,24,2025-01-03 21:00:00+00:00,2025-12-12 21:00:00+00:00,0.0032628846866889125,0.047095496402178486,0.059459395101068596,0.0011609785610958501,0.002447163515016685,0.17063185821686638,0.5
holdout_high_volatility,810,27,2025-03-14 20:00:00+00:00,2025-12-19 21:00:00+00:00,0.009170683475466561,0.05000883281410223,0.06238245509220879,0.0006443524653068589,-0.0046718576195773085,0.19083695763078587,0.48148148148148145
holdout_complete_history_subset,1530,51,2025-01-03 21:00:00+00:00,2025-12-19 21:00:00+00:00,0.006390542868982963,0.04863785097319694,0.061024341168703214,0.00088747062803109,-0.0046718576195773085,0.17983220679477174,0.49019607843137253
